Month,Revenue,Expenses,Customers_Acquired,Burn_Rate,CAC,ARPU,LTV,LTV_CAC
2023-01-01,22000,27000,100,5000,270.0,220.0,1320.0,4.888888888888889
2023-02-01,24000,26500,110,2500,240.9090909090909,218.1818181818182,1309.090909090909,5.433962264150943
2023-03-01,23000,25500,130,2500,196.15384615384616,176.92307692307693,1061.5384615384617,5.411764705882353
2023-04-01,28000,39000,150,11000,260.0,186.66666666666666,1120.0,4.3076923076923075
2023-05-01,20000,33000,140,13000,235.71428571428572,142.85714285714286,857.1428571428571,3.6363636363636362
2023-06-01,25000,29000,120,4000,241.66666666666666,208.33333333333334,1250.0,5.172413793103448
2023-07-01,27000,32000,125,5000,256.0,216.0,1296.0,5.0625
2023-08-01,30000,31000,160,1000,193.75,187.5,1125.0,5.806451612903226
2023-09-01,21000,29000,110,8000,263.6363636363636,190.9090909090909,1145.4545454545455,4.344827586206897
2023-10-01,26000,34000,145,8000,234.48275862068965,179.31034482758622,1075.8620689655172,4.588235294117647
2023-11-01,23000,35000,135,12000,259.25925925925924,170.37037037037038,1022.2222222222223,3.9428571428571435
2023-12-01,30600,34400,155,3800,221.93548387096774,197.41935483870967,1184.516129032258,5.337209302325581
